rt_key,race_id,snapshot_label,target_datetime,post_datetime,acquired_at,delay_seconds,odds_dataspec,latest_happyo_datetime,source_age_seconds,freshness_limit_seconds,status,rows_saved
202609210607,202606040707,10s,2026-09-21T13:09:50,2026-09-21T13:10:00,2026-09-21T13:09:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210608,202606040708,30m,2026-09-21T13:10:00,2026-09-21T13:40:00,2026-09-21T13:10:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210609,202606040709,60m,2026-09-21T13:10:00,2026-09-21T14:10:00,2026-09-21T13:10:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210907,202609040707,10m,2026-09-21T13:15:00,2026-09-21T13:25:00,2026-09-21T13:15:02,2.0,0B31,2026-09-21T13:14:00,60.0,180.0,saved,72
202609210907,202609040707,5m,2026-09-21T13:20:00,2026-09-21T13:25:00,2026-09-21T13:20:02,2.0,0B31,2026-09-21T13:19:00,60.0,180.0,saved,72
202609210907,202609040707,1m,2026-09-21T13:24:00,2026-09-21T13:25:00,2026-09-21T13:24:02,2.001,0B31,2026-09-21T13:23:00,60.0,180.0,saved,72
202609210907,202609040707,10s,2026-09-21T13:24:50,2026-09-21T13:25:00,2026-09-21T13:24:52,2.001,0B31,2026-09-21T13:23:00,110.0,180.0,saved,72
202609210908,202609040708,30m,2026-09-21T13:25:00,2026-09-21T13:55:00,2026-09-21T13:25:02,2.0,0B31,2026-09-21T13:24:00,60.0,900.0,saved,56
202609210909,202609040709,60m,2026-09-21T13:25:00,2026-09-21T14:25:00,2026-09-21T13:25:02,2.0,0B31,2026-09-21T13:24:00,60.0,900.0,saved,68
202609210608,202606040708,10m,2026-09-21T13:30:00,2026-09-21T13:40:00,2026-09-21T13:30:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210608,202606040708,5m,2026-09-21T13:35:00,2026-09-21T13:40:00,2026-09-21T13:35:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210608,202606040708,1m,2026-09-21T13:39:00,2026-09-21T13:40:00,2026-09-21T13:39:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210608,202606040708,10s,2026-09-21T13:39:50,2026-09-21T13:40:00,2026-09-21T13:39:52,2.001,0B31,,,180.0,jvlink_unavailable,0
